time,spot_price,currency_unit
2025-01-18 23:00:00+00:00,129.77,EUR
2025-01-19 00:00:00+00:00,124.35,EUR
2025-01-19 01:00:00+00:00,123.17,EUR
2025-01-19 02:00:00+00:00,121.24,EUR
2025-01-19 03:00:00+00:00,120.18,EUR
2025-01-19 04:00:00+00:00,120.0,EUR
2025-01-19 05:00:00+00:00,121.59,EUR
2025-01-19 06:00:00+00:00,123.47,EUR
2025-01-19 07:00:00+00:00,123.61,EUR
2025-01-19 08:00:00+00:00,125.33,EUR
2025-01-19 09:00:00+00:00,125.43,EUR
2025-01-19 10:00:00+00:00,122.16,EUR
2025-01-19 11:00:00+00:00,112.25,EUR
2025-01-19 12:00:00+00:00,107.51,EUR
2025-01-19 13:00:00+00:00,116.81,EUR
2025-01-19 14:00:00+00:00,113.41,EUR
2025-01-19 15:00:00+00:00,120.74,EUR
2025-01-19 16:00:00+00:00,143.04,EUR
2025-01-19 17:00:00+00:00,159.68,EUR
2025-01-19 18:00:00+00:00,157.33,EUR
2025-01-19 19:00:00+00:00,150.03,EUR
2025-01-19 20:00:00+00:00,140.38,EUR
2025-01-19 21:00:00+00:00,131.56,EUR
2025-01-19 22:00:00+00:00,123.12,EUR
