Time;Consumption (W);;;
01/09/2025 00:00:00;80;;;
01/09/2025 01:00:00;80;;;
01/09/2025 02:00:00;70;;;
01/09/2025 03:00:00;40;;;
01/09/2025 04:00:00;50;;;
01/09/2025 05:00:00;70;;;
01/09/2025 06:00:00;30;;;
01/09/2025 07:00:00;70;;;
01/09/2025 08:00:00;50;;;
01/09/2025 09:00:00;70;;;
01/09/2025 10:00:00;40;;;
01/09/2025 11:00:00;140;;;
01/09/2025 12:00:00;1290;;;
01/09/2025 13:00:00;90;;;
01/09/2025 14:00:00;130;;;
01/09/2025 15:00:00;100;;;
01/09/2025 16:00:00;60;;;
01/09/2025 17:00:00;70;;;
01/09/2025 18:00:00;70;;;
01/09/2025 19:00:00;60;;;
01/09/2025 20:00:00;60;;;
01/09/2025 21:00:00;60;;;
01/09/2025 22:00:00;50;;;
01/09/2025 23:00:00;60;;;
02/09/2025 00:00:00;50;;;
02/09/2025 01:00:00;30;;;
02/09/2025 02:00:00;20;;;
02/09/2025 03:00:00;80;;;
02/09/2025 04:00:00;80;;;
02/09/2025 05:00:00;30;;;
02/09/2025 06:00:00;70;;;
02/09/2025 07:00:00;30;;;
02/09/2025 08:00:00;120;;;
02/09/2025 09:00:00;30;;;
02/09/2025 10:00:00;30;;;
02/09/2025 11:00:00;400;;;
02/09/2025 12:00:00;310;;;
02/09/2025 13:00:00;60;;;
02/09/2025 14:00:00;60;;;
02/09/2025 15:00:00;60;;;
02/09/2025 16:00:00;60;;;
02/09/2025 17:00:00;60;;;
02/09/2025 18:00:00;60;;;
02/09/2025 19:00:00;860;;;
02/09/2025 20:00:00;540;;;
02/09/2025 21:00:00;170;;;
02/09/2025 22:00:00;80;;;
02/09/2025 23:00:00;60;;;
03/09/2025 00:00:00;60;;;
03/09/2025 01:00:00;30;;;
03/09/2025 02:00:00;40;;;
03/09/2025 03:00:00;40;;;
03/09/2025 04:00:00;40;;;
03/09/2025 05:00:00;30;;;
03/09/2025 06:00:00;30;;;
03/09/2025 07:00:00;40;;;
03/09/2025 08:00:00;40;;;
03/09/2025 09:00:00;30;;;
03/09/2025 10:00:00;120;;;
03/09/2025 11:00:00;490;;;
03/09/2025 12:00:00;50;;;
03/09/2025 13:00:00;30;;;
03/09/2025 14:00:00;30;;;
03/09/2025 15:00:00;30;;;
03/09/2025 16:00:00;40;;;
03/09/2025 17:00:00;520;;;
03/09/2025 18:00:00;140;;;
03/09/2025 19:00:00;800;;;
03/09/2025 20:00:00;140;;;
03/09/2025 21:00:00;140;;;
03/09/2025 22:00:00;510;;;
03/09/2025 23:00:00;70;;;
04/09/2025 00:00:00;70;;;
04/09/2025 01:00:00;40;;;
04/09/2025 02:00:00;30;;;
04/09/2025 03:00:00;40;;;
04/09/2025 04:00:00;40;;;
04/09/2025 05:00:00;30;;;
04/09/2025 06:00:00;40;;;
04/09/2025 07:00:00;100;;;
04/09/2025 08:00:00;90;;;
04/09/2025 09:00:00;180;;;
04/09/2025 10:00:00;30;;;
04/09/2025 11:00:00;40;;;
04/09/2025 12:00:00;30;;;
04/09/2025 13:00:00;60;;;
04/09/2025 14:00:00;80;;;
04/09/2025 15:00:00;30;;;
04/09/2025 16:00:00;170;;;
04/09/2025 17:00:00;40;;;
04/09/2025 18:00:00;30;;;
04/09/2025 19:00:00;80;;;
04/09/2025 20:00:00;1320;;;
04/09/2025 21:00:00;420;;;
04/09/2025 22:00:00;60;;;
04/09/2025 23:00:00;400;;;
05/09/2025 00:00:00;190;;;
05/09/2025 01:00:00;120;;;
05/09/2025 02:00:00;10;;;
05/09/2025 03:00:00;40;;;
05/09/2025 04:00:00;40;;;
05/09/2025 05:00:00;40;;;
05/09/2025 06:00:00;30;;;
05/09/2025 07:00:00;190;;;
05/09/2025 08:00:00;50;;;
05/09/2025 09:00:00;40;;;
05/09/2025 10:00:00;40;;;
05/09/2025 11:00:00;40;;;
05/09/2025 12:00:00;30;;;
05/09/2025 13:00:00;30;;;
05/09/2025 14:00:00;30;;;
05/09/2025 15:00:00;50;;;
05/09/2025 16:00:00;50;;;
05/09/2025 17:00:00;40;;;
05/09/2025 18:00:00;40;;;
05/09/2025 19:00:00;500;;;
05/09/2025 20:00:00;40;;;
05/09/2025 21:00:00;40;;;
05/09/2025 22:00:00;40;;;
05/09/2025 23:00:00;50;;;
06/09/2025 00:00:00;50;;;
06/09/2025 01:00:00;40;;;
06/09/2025 02:00:00;40;;;
06/09/2025 03:00:00;40;;;
06/09/2025 04:00:00;450;;;
06/09/2025 05:00:00;50;;;
06/09/2025 06:00:00;40;;;
06/09/2025 07:00:00;40;;;
06/09/2025 08:00:00;50;;;
06/09/2025 09:00:00;50;;;
06/09/2025 10:00:00;40;;;
06/09/2025 11:00:00;50;;;
06/09/2025 12:00:00;170;;;
06/09/2025 13:00:00;40;;;
06/09/2025 14:00:00;70;;;
06/09/2025 15:00:00;60;;;
06/09/2025 16:00:00;80;;;
06/09/2025 17:00:00;120;;;
06/09/2025 18:00:00;80;;;
06/09/2025 19:00:00;80;;;
06/09/2025 20:00:00;60;;;
06/09/2025 21:00:00;50;;;
06/09/2025 22:00:00;50;;;
06/09/2025 23:00:00;80;;;
07/09/2025 00:00:00;60;;;
07/09/2025 01:00:00;30;;;
07/09/2025 02:00:00;30;;;
07/09/2025 03:00:00;40;;;
07/09/2025 04:00:00;40;;;
07/09/2025 05:00:00;30;;;
07/09/2025 06:00:00;30;;;
07/09/2025 07:00:00;30;;;
07/09/2025 08:00:00;40;;;
07/09/2025 09:00:00;30;;;
07/09/2025 10:00:00;170;;;
07/09/2025 11:00:00;160;;;
07/09/2025 12:00:00;770;;;
07/09/2025 13:00:00;160;;;
07/09/2025 14:00:00;480;;;
07/09/2025 15:00:00;470;;;
07/09/2025 16:00:00;390;;;
07/09/2025 17:00:00;410;;;
07/09/2025 18:00:00;330;;;
07/09/2025 19:00:00;180;;;
07/09/2025 20:00:00;180;;;
07/09/2025 21:00:00;1440;;;
07/09/2025 22:00:00;120;;;
07/09/2025 23:00:00;90;;;
08/09/2025 00:00:00;70;;;
08/09/2025 01:00:00;60;;;
08/09/2025 02:00:00;60;;;
08/09/2025 03:00:00;10;;;
08/09/2025 04:00:00;10;;;
08/09/2025 05:00:00;50;;;
08/09/2025 06:00:00;60;;;
08/09/2025 07:00:00;130;;;
08/09/2025 08:00:00;170;;;
08/09/2025 09:00:00;30;;;
08/09/2025 10:00:00;40;;;
08/09/2025 11:00:00;40;;;
08/09/2025 12:00:00;100;;;
08/09/2025 13:00:00;130;;;
08/09/2025 14:00:00;40;;;
08/09/2025 15:00:00;40;;;
08/09/2025 16:00:00;60;;;
08/09/2025 17:00:00;50;;;
08/09/2025 18:00:00;50;;;
08/09/2025 19:00:00;840;;;
08/09/2025 20:00:00;920;;;
08/09/2025 21:00:00;240;;;
08/09/2025 22:00:00;200;;;
08/09/2025 23:00:00;110;;;
09/09/2025 00:00:00;70;;;
09/09/2025 01:00:00;70;;;
09/09/2025 02:00:00;60;;;
09/09/2025 03:00:00;60;;;
09/09/2025 04:00:00;60;;;
09/09/2025 05:00:00;60;;;
09/09/2025 06:00:00;60;;;
09/09/2025 07:00:00;160;;;
09/09/2025 08:00:00;50;;;
09/09/2025 09:00:00;70;;;
09/09/2025 10:00:00;40;;;
09/09/2025 11:00:00;40;;;
09/09/2025 12:00:00;30;;;
09/09/2025 13:00:00;100;;;
09/09/2025 14:00:00;60;;;
09/09/2025 15:00:00;50;;;
09/09/2025 16:00:00;80;;;
09/09/2025 17:00:00;80;;;
09/09/2025 18:00:00;40;;;
09/09/2025 19:00:00;970;;;
09/09/2025 20:00:00;910;;;
09/09/2025 21:00:00;70;;;
09/09/2025 22:00:00;70;;;
09/09/2025 23:00:00;100;;;
10/09/2025 00:00:00;70;;;
10/09/2025 01:00:00;80;;;
10/09/2025 02:00:00;60;;;
10/09/2025 03:00:00;30;;;
10/09/2025 04:00:00;30;;;
10/09/2025 05:00:00;30;;;
10/09/2025 06:00:00;30;;;
10/09/2025 07:00:00;100;;;
10/09/2025 08:00:00;40;;;
10/09/2025 09:00:00;40;;;
10/09/2025 10:00:00;180;;;
10/09/2025 11:00:00;90;;;
10/09/2025 12:00:00;500;;;
10/09/2025 13:00:00;40;;;
10/09/2025 14:00:00;40;;;
10/09/2025 15:00:00;50;;;
10/09/2025 16:00:00;130;;;
10/09/2025 17:00:00;90;;;
10/09/2025 18:00:00;440;;;
10/09/2025 19:00:00;390;;;
10/09/2025 20:00:00;350;;;
10/09/2025 21:00:00;60;;;
10/09/2025 22:00:00;20;;;
10/09/2025 23:00:00;60;;;
11/09/2025 00:00:00;50;;;
11/09/2025 01:00:00;60;;;
11/09/2025 02:00:00;40;;;
11/09/2025 03:00:00;30;;;
11/09/2025 04:00:00;30;;;
11/09/2025 05:00:00;30;;;
11/09/2025 06:00:00;30;;;
11/09/2025 07:00:00;30;;;
11/09/2025 08:00:00;40;;;
11/09/2025 09:00:00;180;;;
11/09/2025 10:00:00;100;;;
11/09/2025 11:00:00;100;;;
11/09/2025 12:00:00;960;;;
11/09/2025 13:00:00;420;;;
11/09/2025 14:00:00;300;;;
11/09/2025 15:00:00;160;;;
11/09/2025 16:00:00;120;;;
11/09/2025 17:00:00;90;;;
11/09/2025 18:00:00;80;;;
11/09/2025 19:00:00;610;;;
11/09/2025 20:00:00;100;;;
11/09/2025 21:00:00;80;;;
11/09/2025 22:00:00;240;;;
11/09/2025 23:00:00;700;;;
12/09/2025 00:00:00;80;;;
12/09/2025 01:00:00;90;;;
12/09/2025 02:00:00;50;;;
12/09/2025 03:00:00;50;;;
12/09/2025 04:00:00;30;;;
12/09/2025 05:00:00;30;;;
12/09/2025 06:00:00;30;;;
12/09/2025 07:00:00;30;;;
12/09/2025 08:00:00;50;;;
12/09/2025 09:00:00;270;;;
12/09/2025 10:00:00;20;;;
12/09/2025 11:00:00;40;;;
12/09/2025 12:00:00;40;;;
12/09/2025 13:00:00;40;;;
12/09/2025 14:00:00;40;;;
12/09/2025 15:00:00;40;;;
12/09/2025 16:00:00;220;;;
12/09/2025 17:00:00;350;;;
12/09/2025 18:00:00;250;;;
12/09/2025 19:00:00;60;;;
12/09/2025 20:00:00;30;;;
12/09/2025 21:00:00;20;;;
12/09/2025 22:00:00;20;;;
12/09/2025 23:00:00;40;;;
13/09/2025 00:00:00;30;;;
13/09/2025 01:00:00;30;;;
13/09/2025 02:00:00;20;;;
13/09/2025 03:00:00;50;;;
13/09/2025 04:00:00;50;;;
13/09/2025 05:00:00;40;;;
13/09/2025 06:00:00;40;;;
13/09/2025 07:00:00;40;;;
13/09/2025 08:00:00;30;;;
13/09/2025 09:00:00;50;;;
13/09/2025 10:00:00;680;;;
13/09/2025 11:00:00;40;;;
13/09/2025 12:00:00;30;;;
13/09/2025 13:00:00;30;;;
13/09/2025 14:00:00;100;;;
13/09/2025 15:00:00;50;;;
13/09/2025 16:00:00;30;;;
13/09/2025 17:00:00;150;;;
13/09/2025 18:00:00;80;;;
13/09/2025 19:00:00;790;;;
13/09/2025 20:00:00;460;;;
13/09/2025 21:00:00;50;;;
13/09/2025 22:00:00;60;;;
13/09/2025 23:00:00;30;;;
14/09/2025 00:00:00;50;;;
14/09/2025 01:00:00;30;;;
14/09/2025 02:00:00;30;;;
14/09/2025 03:00:00;30;;;
14/09/2025 04:00:00;30;;;
14/09/2025 05:00:00;30;;;
14/09/2025 06:00:00;30;;;
14/09/2025 07:00:00;120;;;
14/09/2025 08:00:00;50;;;
14/09/2025 09:00:00;30;;;
14/09/2025 10:00:00;30;;;
14/09/2025 11:00:00;30;;;
14/09/2025 12:00:00;130;;;
14/09/2025 13:00:00;80;;;
14/09/2025 14:00:00;50;;;
14/09/2025 15:00:00;30;;;
14/09/2025 16:00:00;60;;;
14/09/2025 17:00:00;40;;;
14/09/2025 18:00:00;40;;;
14/09/2025 19:00:00;380;;;
14/09/2025 20:00:00;590;;;
14/09/2025 21:00:00;350;;;
14/09/2025 22:00:00;600;;;
14/09/2025 23:00:00;90;;;
15/09/2025 00:00:00;110;;;
15/09/2025 01:00:00;70;;;
15/09/2025 02:00:00;50;;;
15/09/2025 03:00:00;20;;;
15/09/2025 04:00:00;40;;;
15/09/2025 05:00:00;40;;;
15/09/2025 06:00:00;30;;;
15/09/2025 07:00:00;120;;;
15/09/2025 08:00:00;140;;;
15/09/2025 09:00:00;40;;;
15/09/2025 10:00:00;40;;;
15/09/2025 11:00:00;30;;;
15/09/2025 12:00:00;30;;;
15/09/2025 13:00:00;30;;;
15/09/2025 14:00:00;30;;;
15/09/2025 15:00:00;30;;;
15/09/2025 16:00:00;460;;;
15/09/2025 17:00:00;100;;;
15/09/2025 18:00:00;90;;;
15/09/2025 19:00:00;120;;;
15/09/2025 20:00:00;140;;;
15/09/2025 21:00:00;920;;;
15/09/2025 22:00:00;460;;;
15/09/2025 23:00:00;110;;;
16/09/2025 00:00:00;70;;;
16/09/2025 01:00:00;90;;;
16/09/2025 02:00:00;80;;;
16/09/2025 03:00:00;60;;;
16/09/2025 04:00:00;60;;;
16/09/2025 05:00:00;10;;;
16/09/2025 06:00:00;30;;;
16/09/2025 07:00:00;130;;;
16/09/2025 08:00:00;130;;;
16/09/2025 09:00:00;20;;;
16/09/2025 10:00:00;40;;;
16/09/2025 11:00:00;40;;;
16/09/2025 12:00:00;30;;;
16/09/2025 13:00:00;30;;;
16/09/2025 14:00:00;30;;;
16/09/2025 15:00:00;40;;;
16/09/2025 16:00:00;100;;;
16/09/2025 17:00:00;60;;;
16/09/2025 18:00:00;50;;;
16/09/2025 19:00:00;100;;;
16/09/2025 20:00:00;810;;;
16/09/2025 21:00:00;520;;;
16/09/2025 22:00:00;100;;;
16/09/2025 23:00:00;110;;;
17/09/2025 00:00:00;120;;;
17/09/2025 01:00:00;100;;;
17/09/2025 02:00:00;20;;;
17/09/2025 03:00:00;50;;;
17/09/2025 04:00:00;110;;;
17/09/2025 05:00:00;140;;;
17/09/2025 06:00:00;70;;;
17/09/2025 07:00:00;180;;;
17/09/2025 08:00:00;40;;;
17/09/2025 09:00:00;20;;;
17/09/2025 10:00:00;50;;;
17/09/2025 11:00:00;20;;;
17/09/2025 12:00:00;40;;;
17/09/2025 13:00:00;40;;;
17/09/2025 14:00:00;20;;;
17/09/2025 15:00:00;50;;;
17/09/2025 16:00:00;40;;;
17/09/2025 17:00:00;50;;;
17/09/2025 18:00:00;40;;;
17/09/2025 19:00:00;60;;;
17/09/2025 20:00:00;60;;;
17/09/2025 21:00:00;20;;;
17/09/2025 22:00:00;50;;;
17/09/2025 23:00:00;30;;;
18/09/2025 00:00:00;30;;;
18/09/2025 01:00:00;70;;;
18/09/2025 02:00:00;380;;;
18/09/2025 03:00:00;40;;;
18/09/2025 04:00:00;40;;;
18/09/2025 05:00:00;20;;;
18/09/2025 06:00:00;50;;;
18/09/2025 07:00:00;30;;;
18/09/2025 08:00:00;130;;;
18/09/2025 09:00:00;90;;;
18/09/2025 10:00:00;40;;;
18/09/2025 11:00:00;80;;;
18/09/2025 12:00:00;620;;;
18/09/2025 13:00:00;1080;;;
18/09/2025 14:00:00;70;;;
18/09/2025 15:00:00;80;;;
18/09/2025 16:00:00;100;;;
18/09/2025 17:00:00;70;;;
18/09/2025 18:00:00;80;;;
18/09/2025 19:00:00;40;;;
18/09/2025 20:00:00;50;;;
18/09/2025 21:00:00;560;;;
18/09/2025 22:00:00;50;;;
18/09/2025 23:00:00;50;;;
19/09/2025 00:00:00;60;;;
19/09/2025 01:00:00;50;;;
19/09/2025 02:00:00;40;;;
19/09/2025 03:00:00;40;;;
19/09/2025 04:00:00;30;;;
19/09/2025 05:00:00;30;;;
