time,spot_price,currency_unit
2025-08-31 22:00:00+00:00,35.79,EUR
2025-08-31 23:00:00+00:00,18.07,EUR
2025-09-01 00:00:00+00:00,22.34,EUR
2025-09-01 01:00:00+00:00,17.64,EUR
2025-09-01 02:00:00+00:00,15.0,EUR
2025-09-01 03:00:00+00:00,25.21,EUR
2025-09-01 04:00:00+00:00,33.23,EUR
2025-09-01 05:00:00+00:00,53.18,EUR
2025-09-01 06:00:00+00:00,64.0,EUR
2025-09-01 07:00:00+00:00,35.79,EUR
2025-09-01 08:00:00+00:00,14.03,EUR
2025-09-01 09:00:00+00:00,16.64,EUR
2025-09-01 10:00:00+00:00,13.73,EUR
2025-09-01 11:00:00+00:00,6.07,EUR
2025-09-01 12:00:00+00:00,0.0,EUR
2025-09-01 13:00:00+00:00,4.65,EUR
2025-09-01 14:00:00+00:00,8.13,EUR
2025-09-01 15:00:00+00:00,14.08,EUR
2025-09-01 16:00:00+00:00,23.08,EUR
2025-09-01 17:00:00+00:00,55.0,EUR
2025-09-01 18:00:00+00:00,80.0,EUR
2025-09-01 19:00:00+00:00,84.24,EUR
2025-09-01 20:00:00+00:00,84.74,EUR
2025-09-01 21:00:00+00:00,78.5,EUR
2025-09-01 22:00:00+00:00,33.61,EUR
2025-09-01 23:00:00+00:00,36.79,EUR
2025-09-02 00:00:00+00:00,52.57,EUR
2025-09-02 01:00:00+00:00,40.16,EUR
2025-09-02 02:00:00+00:00,42.55,EUR
2025-09-02 03:00:00+00:00,12.47,EUR
2025-09-02 04:00:00+00:00,33.44,EUR
2025-09-02 05:00:00+00:00,34.28,EUR
2025-09-02 06:00:00+00:00,34.8,EUR
2025-09-02 07:00:00+00:00,39.0,EUR
2025-09-02 08:00:00+00:00,7.96,EUR
2025-09-02 09:00:00+00:00,1.2,EUR
2025-09-02 10:00:00+00:00,1.5,EUR
2025-09-02 11:00:00+00:00,0.65,EUR
2025-09-02 12:00:00+00:00,0.21,EUR
2025-09-02 13:00:00+00:00,1.5,EUR
2025-09-02 14:00:00+00:00,8.21,EUR
2025-09-02 15:00:00+00:00,14.0,EUR
2025-09-02 16:00:00+00:00,32.89,EUR
2025-09-02 17:00:00+00:00,84.0,EUR
2025-09-02 18:00:00+00:00,53.46,EUR
2025-09-02 19:00:00+00:00,34.98,EUR
2025-09-02 20:00:00+00:00,42.89,EUR
2025-09-02 21:00:00+00:00,31.06,EUR
2025-09-02 22:00:00+00:00,17.44,EUR
2025-09-02 23:00:00+00:00,15.65,EUR
2025-09-03 00:00:00+00:00,10.86,EUR
2025-09-03 01:00:00+00:00,8.46,EUR
2025-09-03 02:00:00+00:00,4.11,EUR
2025-09-03 03:00:00+00:00,8.94,EUR
2025-09-03 04:00:00+00:00,10.14,EUR
2025-09-03 05:00:00+00:00,21.34,EUR
2025-09-03 06:00:00+00:00,22.6,EUR
2025-09-03 07:00:00+00:00,16.37,EUR
2025-09-03 08:00:00+00:00,0.0,EUR
2025-09-03 09:00:00+00:00,-0.01,EUR
2025-09-03 10:00:00+00:00,,EUR
2025-09-03 11:00:00+00:00,-0.02,EUR
2025-09-03 12:00:00+00:00,,EUR
2025-09-03 13:00:00+00:00,-0.01,EUR
2025-09-03 14:00:00+00:00,,EUR
2025-09-03 15:00:00+00:00,0.0,EUR
2025-09-03 16:00:00+00:00,12.85,EUR
2025-09-03 17:00:00+00:00,56.79,EUR
2025-09-03 18:00:00+00:00,58.21,EUR
2025-09-03 19:00:00+00:00,53.41,EUR
2025-09-03 20:00:00+00:00,70.23,EUR
2025-09-03 21:00:00+00:00,56.33,EUR
2025-09-03 22:00:00+00:00,19.84,EUR
2025-09-03 23:00:00+00:00,14.81,EUR
2025-09-04 00:00:00+00:00,14.3,EUR
2025-09-04 01:00:00+00:00,5.96,EUR
2025-09-04 02:00:00+00:00,5.99,EUR
2025-09-04 03:00:00+00:00,11.49,EUR
2025-09-04 04:00:00+00:00,42.15,EUR
2025-09-04 05:00:00+00:00,52.04,EUR
2025-09-04 06:00:00+00:00,55.89,EUR
2025-09-04 07:00:00+00:00,49.6,EUR
2025-09-04 08:00:00+00:00,18.07,EUR
2025-09-04 09:00:00+00:00,5.79,EUR
2025-09-04 10:00:00+00:00,3.2,EUR
2025-09-04 11:00:00+00:00,1.72,EUR
2025-09-04 12:00:00+00:00,1.6,EUR
2025-09-04 13:00:00+00:00,1.55,EUR
2025-09-04 14:00:00+00:00,3.7,EUR
2025-09-04 15:00:00+00:00,7.01,EUR
2025-09-04 16:00:00+00:00,28.19,EUR
2025-09-04 17:00:00+00:00,62.19,EUR
2025-09-04 18:00:00+00:00,102.5,EUR
